lep_pt	AK8_pt	AK4_pt	M_sd	genWeights	sumWeight	N_exp
109.92514	555.5	80.375	148.375	0.49554962	225503.86	35563
147.45586	404.25	66.4375	142.25	0.49554962	225503.86	35563
78.674995	227.0	120.0	96.4375	0.49554962	225503.86	35563
426.89493	413.0	85.5625	175.5	0.49554962	225503.86	35563
356.87323	490.75	119.375	186.75	0.49554962	225503.86	35563
200.9771	368.25	108.0	188.875	-0.49554962	225503.86	35563
70.12439	211.375	141.25	95.4375	-0.49554962	225503.86	35563
63.630844	315.5	99.3125	100.9375	0.49554962	225503.86	35563
100.789	479.25	81.4375	139.0	0.49554962	225503.86	35563
72.04326	367.75	120.5625	111.3125	-0.49554962	225503.86	35563
106.657486	235.0	70.0	96.9375	-0.49554962	225503.86	35563
144.6571	356.75	147.625	127.4375	-0.49554962	225503.86	35563
156.09593	306.0	26.78125	100.625	0.49554962	225503.86	35563
81.18355	372.5	44.4375	130.0	-0.49554962	225503.86	35563
180.82303	377.25	41.0	164.375	0.49554962	225503.86	35563
55.41889	657.5	53.25	165.375	0.49554962	225503.86	35563
136.99997	370.0	78.875	154.75	-0.49554962	225503.86	35563
246.36592	348.0	130.0	138.0	0.49554962	225503.86	35563
136.51263	321.0	130.125	129.625	0.49554962	225503.86	35563
90.383316	186.25	48.96875	-1.0	0.49554962	225503.86	35563
94.539375	296.0	87.6875	105.25	0.49554962	225503.86	35563
122.75276	298.5	100.0	130.375	0.49554962	225503.86	35563
44.149956	506.75	78.375	184.5	0.49554962	225503.86	35563
124.370514	475.5	58.46875	66.5625	0.49554962	225503.86	35563
44.625744	254.0	45.15625	93.625	0.49554962	225503.86	35563
49.799244	212.625	102.875	93.625	-0.49554962	225503.86	35563
139.7012	189.25	73.5625	83.375	-0.49554962	225503.86	35563
80.34765	356.25	51.34375	115.75	0.49554962	225503.86	35563
93.696144	381.75	142.125	211.125	0.49554962	225503.86	35563
185.80682	309.5	58.3125	150.625	0.49554962	225503.86	35563
227.15788	328.0	65.1875	97.5	-0.49554962	225503.86	35563
206.10396	395.25	139.0	112.8125	0.49554962	225503.86	35563
218.75587	406.75	86.0	105.875	0.49554962	225503.86	35563
182.78001	312.5	76.1875	137.5	0.49554962	225503.86	35563
95.331024	289.25	138.25	126.5	-0.49554962	225503.86	35563
48.571533	381.75	137.5	171.5	0.49554962	225503.86	35563
159.57208	596.5	104.875	197.0	0.49554962	225503.86	35563
63.28334	267.0	124.75	113.25	0.49554962	225503.86	35563
105.81535	428.75	94.5	176.0	0.49554962	225503.86	35563
100.13384	293.25	120.875	133.25	-0.49554962	225503.86	35563
53.61831	484.5	129.125	161.0	0.49554962	225503.86	35563
160.76434	605.0	122.625	181.125	-0.49554962	225503.86	35563
236.79533	615.0	62.5	177.125	0.49554962	225503.86	35563
150.22827	282.75	45.71875	154.875	-0.49554962	225503.86	35563
133.98778	265.0	85.625	80.125	0.49554962	225503.86	35563
97.57595	399.25	135.875	115.4375	0.49554962	225503.86	35563
288.22324	341.5	118.5625	118.5625	0.49554962	225503.86	35563
210.47011	231.625	82.6875	103.75	0.49554962	225503.86	35563
53.809002	336.75	64.4375	71.5625	0.49554962	225503.86	35563
64.470856	475.5	118.9375	172.25	-0.49554962	225503.86	35563
377.8626	336.75	59.8125	127.125	-0.49554962	225503.86	35563
194.54893	532.5	136.375	174.625	0.49554962	225503.86	35563
282.3151	226.0	107.875	90.3125	0.49554962	225503.86	35563
327.2195	494.5	112.125	56.5625	0.49554962	225503.86	35563
161.67189	295.25	37.5625	86.75	0.49554962	225503.86	35563
236.08395	561.5	132.75	185.625	0.49554962	225503.86	35563
46.381668	385.0	138.25	128.625	-0.49554962	225503.86	35563
376.08646	489.25	118.0	139.5	-0.49554962	225503.86	35563
