lep_pt	AK8_pt	LHE_dd	LHES_dd	LHE_dm	LHES_dm	LHE_md	LHES_md	LHE_um	LHES_um	LHE_mu	LHES_mu	LHE_uu	LHES_uu	ISR_u	ISR_d	FSR_u	FSR_d	genWeights	sumWeight	N_exp
521.19763	907.0	1.5120239	1.0944842100143433	1.2620239	1.078665018081665	1.1981201	1.0267152786254883	0.84552	0.9782517552375793	0.8062134	0.9176203608512878	0.68167114	0.8908080458641052	0.957489	1.0418701	1.28125	0.4416504	0.49554962	156882.11	35563
417.7813	644.5	1.4015503	1.0944842100143433	1.25531	1.078665018081665	1.1172485	1.0267152786254883	0.9022522	0.9782517552375793	0.8110657	0.9176203608512878	0.73135376	0.8908080458641052	0.9787903	1.0078125	0.8347168	0.89868164	0.49554962	156882.11	35563
238.00777	482.75	1.0883179	1.0944842100143433	0.9888611	1.078665018081665	1.0940552	1.0267152786254883	0.91833496	0.9782517552375793	0.9750366	0.9176203608512878	0.89852905	0.8908080458641052	1.0108032	0.97317505	1.4674683	0.3971405	0.49554962	156882.11	35563
764.7919	800.5	1.3450928	1.0944842100143433	1.2426147	1.078665018081665	1.0853271	1.0267152786254883	0.92459106	0.9782517552375793	0.8190918	0.9176203608512878	0.75579834	0.8908080458641052	1.0999756	0.8687744	1.2902222	0.41781616	0.49554962	156882.11	35563
99.97987	473.0	1.4645996	1.0944842100143433	1.3026733	1.078665018081665	1.1242676	1.0267152786254883	0.89508057	0.9782517552375793	0.7848816	0.9176203608512878	0.70254517	0.8908080458641052	0.9385681	1.036438	0.54193115	1.8101196	-0.49554962	156882.11	35563
228.72862	527.0	0.9178772	1.0944842100143433	1.0912476	1.078665018081665	0.87332153	1.0267152786254883	1.123169	0.9782517552375793	0.9130554	0.9176203608512878	1.0049438	0.8908080458641052	1.0996094	0.87893677	2.1383057	0.15881348	0.49554962	156882.11	35563
168.31393	490.0	1.1643066	1.0944842100143433	1.220581	1.078665018081665	0.9610901	1.0267152786254883	1.034668	0.9782517552375793	0.8338928	0.9176203608512878	0.85806274	0.8908080458641052	0.75460815	1.4146729	0.710022	1.1206055	0.49554962	156882.11	35563
346.26715	351.5	1.4656982	1.0944842100143433	1.2927856	1.078665018081665	1.133728	1.0267152786254883	0.8886719	0.9782517552375793	0.789917	0.9176203608512878	0.70196533	0.8908080458641052	0.9722595	1.0186157	0.3456421	2.9057617	-0.49554962	156882.11	35563
228.93672	685.5	1.4749146	1.0944842100143433	1.27594	1.078665018081665	1.1559448	1.0267152786254883	0.87368774	0.9782517552375793	0.7987366	0.9176203608512878	0.69784546	0.8908080458641052	0.8355408	1.21521	0.8819275	0.53060913	-0.49554962	156882.11	35563
127.565704	498.5	1.5603638	1.0944842100143433	1.4440918	1.078665018081665	1.0801392	1.0267152786254883	0.9298096	0.9782517552375793	0.69766235	0.9176203608512878	0.6489868	0.8908080458641052	1.0140381	0.9767151	0.42222595	3.0178223	-0.49554962	156882.11	35563
165.69395	330.0	1.0465088	1.0944842100143433	0.9923096	1.078665018081665	1.0526733	1.0267152786254883	0.9505615	0.9782517552375793	0.97302246	0.9176203608512878	0.9259949	0.8908080458641052	1.0458374	0.93478394	1.4537354	0.43977356	0.49554962	156882.11	35563
371.8232	374.25	1.4376221	1.0944842100143433	1.2814941	1.078665018081665	1.1218262	1.0267152786254883	0.89816284	0.9782517552375793	0.79577637	0.9176203608512878	0.7147217	0.8908080458641052	0.99053955	1.0025635	0.9407654	0.75949097	0.49554962	156882.11	35563
358.61203	569.5	1.0901489	1.0944842100143433	1.007019	1.078665018081665	1.0743408	1.0267152786254883	0.93429565	0.9782517552375793	0.96484375	0.9176203608512878	0.9055481	0.8908080458641052	0.7362366	1.4679565	0.6191406	1.7687988	0.49554962	156882.11	35563
384.80853	540.0	1.0974731	1.0944842100143433	1.1988525	1.078665018081665	0.93130493	1.0267152786254883	1.0419312	0.9782517552375793	0.84698486	0.9176203608512878	0.87371826	0.8908080458641052	0.91815186	1.0828247	1.0427856	0.69540405	0.49554962	156882.11	35563
102.69311	377.5	1.3951416	1.0944842100143433	1.2932739	1.078665018081665	1.0787964	1.0267152786254883	0.93048096	0.9782517552375793	0.78967285	0.9176203608512878	0.7347717	0.8908080458641052	1.0559692	0.91781616	1.3635254	0.40429688	0.49554962	156882.11	35563
384.69595	371.5	1.6708984	1.0944842100143433	0.9944153	1.078665018081665	1.5673828	1.0267152786254883	0.5772095	0.9782517552375793	0.97421265	0.9176203608512878	0.6128235	0.8908080458641052	1.3471069	0.6636658	0.64364624	1.4563599	0.49554962	156882.11	35563
83.47198	219.375	1.2296753	1.0944842100143433	1.2566528	1.078665018081665	0.9859314	1.0267152786254883	1.0043335	0.9782517552375793	0.8126221	0.9176203608512878	0.8119507	0.8908080458641052	0.9533386	1.0410767	1.4551392	0.39556885	0.49554962	156882.11	35563
179.36536	399.75	1.3634644	1.0944842100143433	1.298645	1.078665018081665	1.0499268	1.0267152786254883	0.95376587	0.9782517552375793	0.78692627	0.9176203608512878	0.7505493	0.8908080458641052	1.0496216	0.93136597	2.0029297	0.21631622	0.49554962	156882.11	35563
54.42714	317.75	1.3703003	1.0944842100143433	1.1915894	1.078665018081665	1.1506958	1.0267152786254883	0.8770752	0.9782517552375793	0.851532	0.9176203608512878	0.74645996	0.8908080458641052	0.8200073	1.2397461	0.47605896	1.4157715	0.49554962	156882.11	35563
250.54793	327.25	1.2728882	1.0944842100143433	1.2600708	1.078665018081665	1.013855	1.0267152786254883	0.9847107	0.9782517552375793	0.8100891	0.9176203608512878	0.7954712	0.8908080458641052	1.1846313	0.785553	0.5383911	1.6239014	0.49554962	156882.11	35563
211.86662	196.75	1.3323364	1.0944842100143433	1.2731934	1.078665018081665	1.048584	1.0267152786254883	0.95581055	0.9782517552375793	0.8023071	0.9176203608512878	0.765625	0.8908080458641052	0.99328613	0.98062134	0.6558533	1.3643799	0.49554962	156882.11	35563
137.91287	470.75	1.1435547	1.0944842100143433	1.0021973	1.078665018081665	1.1410522	1.0267152786254883	0.8850403	0.9782517552375793	0.9670105	0.9176203608512878	0.8555908	0.8908080458641052	1.1790771	0.80130005	1.3739014	0.3820343	0.49554962	156882.11	35563
149.97792	430.25	1.142456	1.0944842100143433	1.1729736	1.078665018081665	0.97994995	1.0267152786254883	1.0310059	0.9782517552375793	0.862854	0.9176203608512878	0.8845825	0.8908080458641052	0.89871216	1.1063843	0.7713623	0.93255615	0.49554962	156882.11	35563
552.6841	433.75	1.4846802	1.0944842100143433	1.2818604	1.078665018081665	1.1582031	1.0267152786254883	0.8722229	0.9782517552375793	0.79556274	0.9176203608512878	0.6939087	0.8908080458641052	1.1223145	0.847229	3.0981445	0.09894943	0.49554962	156882.11	35563
59.47753	475.25	1.2128906	1.0944842100143433	1.2518921	1.078665018081665	0.9746399	1.0267152786254883	1.0161133	0.9782517552375793	0.8149109	0.9176203608512878	0.8245239	0.8908080458641052	1.043335	0.92700195	0.73516846	1.307373	0.49554962	156882.11	35563
214.29118	580.5	1.5332642	1.0944842100143433	1.2844849	1.078665018081665	1.1936646	1.0267152786254883	0.8486328	0.9782517552375793	0.79422	0.9176203608512878	0.67401123	0.8908080458641052	0.97891235	1.005127	1.6783447	0.23345947	0.49554962	156882.11	35563
251.77449	389.25	1.4764404	1.0944842100143433	1.2942505	1.078665018081665	1.1407471	1.0267152786254883	0.88409424	0.9782517552375793	0.78915405	0.9176203608512878	0.6976929	0.8908080458641052	1.079773	0.8762207	0.40278625	2.9326172	-0.49554962	156882.11	35563
123.60223	402.0	1.3772583	1.0944842100143433	1.2994385	1.078665018081665	1.0598755	1.0267152786254883	0.94558716	0.9782517552375793	0.78652954	0.9176203608512878	0.7437439	0.8908080458641052	1.0256958	0.95526123	0.45262146	2.0706787	-0.49554962	156882.11	35563
66.60602	348.25	1.3413086	1.0944842100143433	1.3052368	1.078665018081665	1.0276489	1.0267152786254883	0.97232056	0.9782517552375793	0.78359985	0.9176203608512878	0.76187134	0.8908080458641052	1.0134277	0.96640015	0.549469	1.5817261	0.49554962	156882.11	35563
86.60368	510.0	1.0229492	1.0944842100143433	1.1616821	1.078665018081665	0.8991394	1.0267152786254883	1.0949097	0.9782517552375793	0.869751	0.9176203608512878	0.940155	0.8908080458641052	0.9267578	1.0941772	0.9538574	0.88204956	0.49554962	156882.11	35563
131.08119	348.75	1.2722778	1.0944842100143433	1.0019531	1.078665018081665	1.2228394	1.0267152786254883	0.8135376	0.9782517552375793	0.9668884	0.9176203608512878	0.8096924	0.8908080458641052	1.0372314	0.9449768	1.1808472	0.44755554	0.49554962	156882.11	35563
115.85577	407.0	1.3815918	1.0944842100143433	1.2948608	1.078665018081665	1.0669556	1.0267152786254883	0.93984985	0.9782517552375793	0.7888489	0.9176203608512878	0.74139404	0.8908080458641052	0.9393921	1.0733032	1.032898	0.5135498	-0.49554962	156882.11	35563
176.81995	427.75	1.3621826	1.0944842100143433	1.2763062	1.078665018081665	1.0689087	1.0267152786254883	0.9390259	0.9782517552375793	0.80029297	0.9176203608512878	0.7505493	0.8908080458641052	0.9696045	1.0186768	1.1716919	0.46105957	0.49554962	156882.11	35563
